Currency Code,Country,Amount of currency,Exchange Path,Exchange Rate
ADA,Cardano,31.663373199884482,CAD | BTC | BCH | ALGO | ADA,0.3166337319988448
LRD,Liberia Dollar,13742.94746291633,CAD | EUR | GBP | LRD,137.4294746291633
BRL,Brazil Real,412.0548318191676,CAD | BRL,4.120548318191676
LTC,Litecoin,0.41941578983249866,CAD | BTC | BCH | ALGO | ADA | LTC,0.004194157898324987
ETH,Ethereum,0.025714881525107775,CAD | BTC | ETH,2.5714881525107776E-4
SEK,Sweden Krona,698.8665963390142,CAD | EUR | GBP | NOK | SEK,6.988665963390142
NZD,New Zealand Dollar,112.9588822794993,CAD | EUR | NZD,1.129588822794993
BTC,Bitcoin,0.0018166760629728593,CAD | BTC,1.8166760629728594E-5
UYU,Uruguay Peso,3378.7683348462288,CAD | BRL | UYU,33.78768334846229
SGD,Singapore Dollar,7.630565413505702,CAD | USD | HKD | PHP | KRW | SGD,0.07630565413505702
BAN,Banano,9054.884909526269,CAD | BTC | BAN,90.54884909526268
DZD,Algeria Dinar,10997.179233199551,CAD | EUR | GBP | LRD | DZD,109.97179233199552
BZD,Belize Dollar,162.35901312579952,CAD | EUR | BZD,1.6235901312579952
NOK,Norway Kroner,692.1303099496208,CAD | EUR | GBP | NOK,6.921303099496209
BCH,BitcoinCash,0.14088574587695546,CAD | BTC | BCH,0.0014088574587695546
USD,USA Dollar,79.40400348246177,CAD | USD,0.7940400348246177
EUR,Euro,67.6523925020802,CAD | EUR,0.676523925020802
HKD,Hong Kong Dollar,45.34836122016686,CAD | USD | HKD,0.45348361220166855
TRY,Turkish New Lira,686.6787906298504,CAD | EUR | GBP | NOK | SEK | TRY,6.866787906298504
LBP,Lebanon Pound,122472.19363954445,CAD | EUR | GBP | LBP,1224.7219363954446
PHP,Philippines Peso,292.2344404302599,CAD | USD | HKD | PHP,2.922344404302599
SDG,Sudan Pound,35244.589922008476,CAD | USD | SAR | SDG,352.44589922008475
GBP,Great Britain Pound,57.86800294752196,CAD | EUR | GBP,0.5786800294752196
JPY,Japan Yen,8816.93243631532,CAD | USD | JPY,88.1693243631532
NANO,Nano,15.391311998948984,CAD | BTC | NANO,0.15391311998948984
AUD,Australia Dollar,109.08285874870651,CAD | EUR | AUD,1.0908285874870651
KRW,South Korea Won,6922.396978586221,CAD | USD | HKD | PHP | KRW,69.22396978586221
CNY,China Yuan/Renminbi,37.38349074352181,CAD | USD | HKD | CNY,0.37383490743521813
THB,Thailand Baht,188.61651598519322,CAD | USD | HKD | PHP | KRW | SGD | THB,1.8861651598519322
INR,India Rupee,429.45375244896013,CAD | USD | HKD | INR,4.294537524489601
ALGO,Algorand,36.69351479946319,CAD | BTC | BCH | ALGO,0.3669351479946319
VND,Vietnam Dong,133011.90326375482,CAD | USD | HKD | VND,1330.1190326375483
TND,Tunisia Dinar,219.86429435235658,CAD | BRL | UYU | TND,2.198642943523566
DOGE,Dogecoin,372.05163996913046,CAD | BTC | NANO | DOGE,3.720516399691305
SAR,Saudi Arabia Riyal,299.12863126312266,CAD | USD | SAR,2.991286312631227
TTD,Trinidad/Tobago Dollar,537.0348576098074,CAD | BRL | TTD,5.370348576098074
MXN,Mexico Peso,1591.6282878947727,CAD | USD | MXN,15.916282878947726
ARS,Argentina Peso,7793.763303516759,CAD | BRL | ARS,77.9376330351676
CHF,Switzerland Franc,77.61089292611177,CAD | EUR | GBP | NOK | SEK | CHF,0.7761089292611177
